ROS Time (s), GPS Week, GPS TOW (s), Latitude (deg), Longitude (deg), Altitude (m), East Velocity (m/s), North Velocity (m/s), Up Velocity (m/s), Roll (deg), Pitch (deg), Heading (deg)
1556456283.924171925,2051,46699.000000000,22.301155545,114.179000313,6.613695497,-0.007898935,0.003768520,-0.006062907,-1.295129518,0.292010372,228.019929379
1556456284.924304008,2051,46700.000000000,22.301155461,114.179000322,6.605289413,0.000415852,-0.004189932,-0.001974956,-1.294477078,0.291912448,228.022362634
1556456285.924423933,2051,46701.000000000,22.301155379,114.179000332,6.595892898,-0.000457295,0.001368721,-0.002814018,-1.299815820,0.284552578,228.022167091
1556456286.924551010,2051,46702.000000000,22.301155296,114.179000344,6.585281514,0.006153338,-0.014744478,0.003917684,-1.314480498,0.283995401,228.019265849
1556456287.924627066,2051,46703.000000000,22.301155215,114.179000355,6.574341735,0.004364384,-0.013179271,0.004791493,-1.303140550,0.284604589,228.022845043
1556456288.924624920,2051,46704.000000000,22.301155140,114.179000365,6.563624927,-0.002852721,-0.004012374,0.001908780,-1.298120133,0.287310453,228.024081639
1556456289.924813986,2051,46705.000000000,22.301155072,114.179000374,6.553342131,-0.001334389,-0.005551776,-0.001292761,-1.301004536,0.292182334,228.023988746
1556456290.924880981,2051,46706.000000000,22.301155010,114.179000381,6.543579919,-0.000016460,-0.002394850,0.003806366,-1.300923730,0.289780097,228.027456231
1556456291.924118042,2051,46707.000000000,22.301154954,114.179000388,6.534391937,-0.001221043,0.003301913,-0.000764013,-1.299234647,0.296236796,228.025057507
1556456292.924206972,2051,46708.000000000,22.301154904,114.179000394,6.525846097,0.001510071,-0.001353301,0.001847343,-1.295299288,0.293993305,228.027420645
1556456293.924559116,2051,46709.000000000,22.301154858,114.179000401,6.518007258,0.001152879,-0.004228989,0.008545792,-1.302012397,0.290128545,228.025359955
1556456294.924405098,2051,46710.000000000,22.301154815,114.179000408,6.510907775,-0.000312048,-0.002457111,0.005044697,-1.302429952,0.290870800,228.027403047
1556456295.924468994,2051,46711.000000000,22.301154777,114.179000414,6.504460951,0.003401106,0.002032566,-0.006266739,-1.299437340,0.300637159,228.021881833
1556456296.924593925,2051,46712.000000000,22.301154742,114.179000418,6.498629067,-0.004152490,0.004050084,0.000382751,-1.277660141,0.300815699,228.027508282
1556456297.924674988,2051,46713.000000000,22.301154709,114.179000421,6.493314451,0.000199960,-0.007317857,0.004924664,-1.291833161,0.300719059,228.028047160
1556456298.924798012,2051,46714.000000000,22.301154677,114.179000425,6.488503497,0.003254395,-0.008508875,0.009589034,-1.304727775,0.299619488,228.030992436
1556456299.925060034,2051,46715.000000000,22.301154647,114.179000429,6.484133431,-0.003588882,0.003123838,0.003086118,-1.285323514,0.306921079,228.031168155
1556456300.924041033,2051,46716.000000000,22.301154617,114.179000434,6.480059386,-0.003454055,-0.000947728,-0.004727159,-1.302493857,0.314153347,228.038511520
1556456301.924098015,2051,46717.000000000,22.301154589,114.179000439,6.476213603,0.000959942,0.000667170,-0.004879047,-1.289864807,0.312842772,228.037205755
1556456302.924155951,2051,46718.000000000,22.301154562,114.179000447,6.472592389,0.001279977,0.002975432,-0.001895287,-1.283571593,0.310583870,228.037986978
1556456303.924243927,2051,46719.000000000,22.301154537,114.179000455,6.469218013,0.001750441,0.000490850,0.002515888,-1.286642652,0.308240142,228.038457463
1556456304.924359083,2051,46720.000000000,22.301154512,114.179000464,6.466066525,0.004564176,-0.005438311,0.002227462,-1.284550089,0.304097177,228.038638148
1556456305.924711943,2051,46721.000000000,22.301154486,114.179000474,6.463121893,0.005453090,-0.009885914,0.005741759,-1.279899249,0.305980443,228.039292848
1556456306.924617052,2051,46722.000000000,22.301154462,114.179000483,6.460401025,0.000824249,-0.001905502,0.003684175,-1.276916806,0.304097042,228.040703888
1556456307.924771070,2051,46723.000000000,22.301154439,114.179000492,6.457900452,-0.006626217,0.003405114,0.002175763,-1.279409277,0.301942629,228.037761949
1556456308.924829960,2051,46724.000000000,22.301154417,114.179000501,6.455587722,-0.000523348,0.000580147,-0.000378974,-1.282193200,0.310651481,228.042593033
1556456309.923917055,2051,46725.000000000,22.301154379,114.179000490,6.453418803,-0.220939577,-0.187978322,0.004628351,-1.245954373,0.387505075,228.051627559
1556456310.984065056,2051,46726.000000000,22.301149574,114.178995775,6.375703372,-0.779760423,-0.687866840,0.003768980,-1.227542919,0.484937721,228.143580738
1556456311.924103975,2051,46727.000000000,22.301140736,114.178984940,6.376340935,-1.397596614,-1.204367196,0.014623467,-1.292651440,0.361187544,227.990068733
1556456312.924170971,2051,46728.000000000,22.301127948,114.178969587,6.376166226,-1.747427457,-1.616019250,-0.011320719,-1.243872547,0.588537813,226.879651033
1556456313.924314976,2051,46729.000000000,22.301112473,114.178951930,6.384449633,-1.722011185,-1.695637083,0.022428408,-0.859556879,0.111007589,224.743857231
1556456314.924472094,2051,46730.000000000,22.301097273,114.178937201,6.395193934,-1.263874111,-1.783072919,0.033366817,-0.546672681,0.642924533,218.612057868
1556456315.924591064,2051,46731.000000000,22.301079952,114.178926735,6.417632013,-0.776813660,-2.128774851,-0.012366667,-0.311056637,-0.078744330,204.315196234
1556456316.924659014,2051,46732.000000000,22.301059611,114.178923442,6.408848153,0.076812392,-2.359934620,-0.023851224,-0.070826974,-0.177857862,182.169059914
1556456317.924681902,2051,46733.000000000,22.301038674,114.178929424,6.399955757,1.067179566,-2.246132040,-0.037940349,-0.135720715,-0.471577601,159.357859007
1556456318.923821926,2051,46734.000000000,22.301018518,114.178942434,6.382801238,1.597211970,-2.250234841,0.009159258,-0.434246507,0.128856583,146.247348674
1556456319.924258947,2051,46735.000000000,22.300996757,114.178959875,6.389291747,2.035727527,-2.553077956,0.012478728,-0.303762116,-0.162533320,141.464751286
1556456320.924242020,2051,46736.000000000,22.300972580,114.178981339,6.380902245,2.406516360,-2.795248843,-0.014822143,-0.335490859,0.035929425,138.733490535
1556456321.924150944,2051,46737.000000000,22.300946525,114.179006205,6.381078796,2.704029812,-2.987875794,0.010661791,-0.636690873,0.102132455,136.892752344
1556456322.924375057,2051,46738.000000000,22.300918947,114.179033906,6.387420558,2.966542898,-3.166230326,-0.011359339,-0.835959502,0.290281225,135.953659918
1556456323.924504995,2051,46739.000000000,22.300888806,114.179063776,6.404280603,3.142005156,-3.508455204,-0.004024692,-0.702073418,-0.032074698,136.412809136
1556456324.924537897,2051,46740.000000000,22.300855861,114.179095901,6.412911355,3.408791214,-3.772948678,-0.018892390,-0.500612327,-0.111566148,136.639679603
1556456325.934515953,2051,46741.000000000,22.300820525,114.179130275,6.393295094,3.588385225,-3.950844455,-0.130848015,-0.954462523,-0.133178509,136.923784382
1556456326.924640894,2051,46742.000000000,22.300783154,114.179166173,6.387240366,3.788165610,-4.301899811,0.003897756,-1.819681956,-0.117179309,137.191404509
1556456327.923918962,2051,46743.000000000,22.300743269,114.179203858,6.396113422,3.904478117,-4.527665998,0.016313328,-1.316844212,0.421896038,137.712735419
1556456328.924026966,2051,46744.000000000,22.300702591,114.179241974,6.427619047,3.824494490,-4.419174661,0.022791756,-0.759417727,0.087339603,137.569647551
1556456329.923959017,2051,46745.000000000,22.300663510,114.179278648,6.458925725,3.690955600,-4.216162687,0.017377739,-0.771780300,-0.069879592,137.822304606
1556456330.924150944,2051,46746.000000000,22.300625684,114.179313812,6.474043051,3.557717019,-4.039170580,0.023040295,-0.891748599,0.205486918,137.691403654
1556456331.924289942,2051,46747.000000000,22.300589676,114.179347284,6.487475943,3.241523652,-3.952281473,-0.018230094,-1.173616962,-0.114566099,138.420977822
1556456332.924278021,2051,46748.000000000,22.300551930,114.179378076,6.514269745,3.179878748,-4.496580355,0.062626614,-1.040834527,0.388554454,142.785557483
1556456333.924365997,2051,46749.000000000,22.300508591,114.179408266,6.560615872,3.165685799,-5.016113031,0.034192933,-1.435005549,0.257335944,145.772615568
1556456334.924421072,2051,46750.000000000,22.300461192,114.179440716,6.586970346,3.455898099,-5.316332023,0.026357767,-0.796756173,-0.065736256,145.564290618
1556456335.924609900,2051,46751.000000000,22.300412101,114.179476567,6.600371512,3.916118974,-5.472168754,0.013017582,-0.586988864,0.008441266,142.926019750
1556456336.923753977,2051,46752.000000000,22.300362214,114.179516962,6.630004147,4.363838355,-5.501740277,0.088153172,-0.384200601,0.338389711,140.443491056
1556456337.923783064,2051,46753.000000000,22.300311603,114.179561093,6.668036914,4.589481038,-5.578334758,0.001089054,-0.086431087,0.185368261,139.049278193
1556456338.923876047,2051,46754.000000000,22.300261608,114.179606665,6.704422018,4.552073123,-5.404851857,0.009079843,-0.253847075,0.189166975,137.846006157
1556456339.924084902,2051,46755.000000000,22.300213867,114.179651379,6.735978559,4.420813328,-5.054483427,-0.034153871,-0.730481765,0.287371284,137.576827338
1556456340.924125910,2051,46756.000000000,22.300170545,114.179691841,6.783747781,3.715753385,-4.332574764,0.003234459,-0.572881188,0.021767159,137.387618641
1556456341.924195051,2051,46757.000000000,22.300134661,114.179724682,6.814333158,3.063452381,-3.441118976,0.060372501,-0.357512805,-0.326125866,137.120523696
1556456342.924360991,2051,46758.000000000,22.300107750,114.179749554,6.837236355,1.986468763,-2.391049334,0.025086892,-0.906227618,-0.223356191,137.067764345
1556456343.924504995,2051,46759.000000000,22.300092208,114.179763269,6.862808789,0.793295217,-1.061391352,0.019344296,-0.967737833,-0.132933939,137.111502046
1556456344.924514055,2051,46760.000000000,22.300088059,114.179769159,6.881011897,-0.000728116,-0.130854787,0.027281990,-0.976458235,-0.034948293,137.151606988
1556456345.923630953,2051,46761.000000000,22.300088794,114.179770462,6.896066813,-0.096892736,-0.007085092,0.026610523,-0.980614885,0.121251250,137.159786754
1556456346.923767090,2051,46762.000000000,22.300089474,114.179772135,6.901167149,-0.083724371,-0.007877594,0.021314379,-0.983556742,0.112485851,137.164958082
1556456347.923866987,2051,46763.000000000,22.300091597,114.179774283,6.898757955,-0.062155329,0.005995139,0.023134018,-0.981992717,0.106670007,137.168091961
1556456348.923985958,2051,46764.000000000,22.300092177,114.179774688,6.898603038,-0.064889785,0.001769418,0.015411278,-0.986931030,0.113112396,137.170696080
1556456349.924069881,2051,46765.000000000,22.300093273,114.179776590,6.845790211,-0.033579332,0.013364045,0.013812151,-0.993398648,0.109771835,137.177123427
1556456350.924168110,2051,46766.000000000,22.300093873,114.179778495,6.754405376,-0.022953556,0.005849410,0.001678140,-0.997653273,0.110589998,137.181571932
1556456351.924309015,2051,46767.000000000,22.300093961,114.179779275,6.712566550,-0.010502875,0.004751569,-0.001115401,-0.999904511,0.105111478,137.181121851
1556456352.924374104,2051,46768.000000000,22.300093951,114.179779442,6.711407122,-0.006171602,-0.005431516,-0.000639119,-0.998541344,0.104270742,137.180847342
1556456353.924546957,2051,46769.000000000,22.300093904,114.179779488,6.710719368,-0.005267009,-0.000765058,-0.003639803,-1.003227843,0.106131201,137.176061185
1556456354.923607111,2051,46770.000000000,22.300093868,114.179779482,6.710384554,-0.005682204,-0.001803446,-0.002224884,-1.003197083,0.104785734,137.174311689
1556456355.923691034,2051,46771.000000000,22.300093830,114.179779436,6.709602036,-0.007532189,-0.002628720,-0.003194149,-1.004886826,0.104124105,137.170431486
1556456356.923804998,2051,46772.000000000,22.300093794,114.179779367,6.707669131,-0.005827913,-0.001021092,-0.005480895,-1.010349158,0.103162580,137.166200793
1556456357.923883915,2051,46773.000000000,22.300093762,114.179779290,6.704432341,-0.006299471,-0.002043014,-0.004808155,-1.012500921,0.103410368,137.164950446
1556456358.923978090,2051,46774.000000000,22.300093736,114.179779215,6.700394340,-0.005811416,-0.002145159,-0.002576906,-1.008107399,0.100569691,137.166992203
1556456359.924149990,2051,46775.000000000,22.300093714,114.179779143,6.695755582,0.004730663,0.006983324,-0.002577131,-1.007259683,0.097448863,137.166290899
1556456360.924177885,2051,46776.000000000,22.300093694,114.179779077,6.690601196,0.002459726,0.002077877,-0.004385487,-1.010913580,0.098277237,137.165910172
1556456361.924283028,2051,46777.000000000,22.300093677,114.179779018,6.685050140,-0.003576234,-0.000149192,-0.005814097,-1.008660060,0.104755240,137.165824376
1556456362.924423933,2051,46778.000000000,22.300093662,114.179778964,6.679298929,-0.004491807,-0.003363863,-0.003796073,-1.008079256,0.104264990,137.165547012
1556456363.923531055,2051,46779.000000000,22.300093649,114.179778915,6.673523667,-0.004945759,-0.003913241,-0.004703619,-1.008564184,0.106789160,137.165496465
1556456364.923568964,2051,46780.000000000,22.300093637,114.179778870,6.667879798,-0.004038293,0.000329359,-0.003903097,-1.009162691,0.107975811,137.164987196
1556456365.923710108,2051,46781.000000000,22.300093626,114.179778826,6.662293858,-0.007622161,-0.001850256,-0.007016659,-1.001229831,0.104940714,137.166159842
1556456366.923902988,2051,46782.000000000,22.300093616,114.179778783,6.656790068,-0.012030996,-0.004777497,-0.004533892,-0.999580110,0.106387399,137.165413122
1556456367.923927069,2051,46783.000000000,22.300093606,114.179778739,6.651355036,-0.012749723,-0.001580855,-0.007760779,-1.002936038,0.103715147,137.164153905
1556456368.923962116,2051,46784.000000000,22.300093561,114.179778730,6.645856141,0.168646342,-0.201236250,-0.002089986,-0.986400138,0.183190726,137.174503361
1556456369.924139023,2051,46785.000000000,22.300089548,114.179781498,6.521553439,0.452634011,-0.504627413,-0.005663796,-0.917284257,0.139433880,137.082981337
1556456370.934297085,2051,46786.000000000,22.300083802,114.179786845,6.488359337,0.670152717,-0.761371672,-0.003466829,-0.859546319,0.190767729,136.903290382
1556456371.924328089,2051,46787.000000000,22.300075638,114.179794472,6.455840525,0.953729678,-1.083744691,-0.006639243,-0.829670636,0.165237306,137.071393425
1556456372.923414946,2051,46788.000000000,22.300063986,114.179804684,6.429050111,1.162283044,-1.442881881,0.007123744,-0.484463862,0.273092736,138.948742626
1556456373.923556089,2051,46789.000000000,22.300048015,114.179817585,6.423039285,1.559281025,-2.247857839,-0.011310301,-0.541674711,0.248104092,142.744172543
1556456374.923598051,2051,46790.000000000,22.300022043,114.179832793,6.427498483,1.370032051,-3.452697936,0.038619209,-1.052232760,0.442434809,154.523797069
1556456375.923763037,2051,46791.000000000,22.299987021,114.179841697,6.450135019,0.247991069,-4.153306678,0.020851001,-0.875434389,0.625944517,171.535398448
1556456376.923907995,2051,46792.000000000,22.299949666,114.179837377,6.483216722,-1.064508544,-4.044545967,0.045718595,-0.230282180,0.237465348,191.811721046
1556456377.923953056,2051,46793.000000000,22.299915478,114.179819763,6.481922571,-2.555261780,-3.576605211,0.004813800,-0.367618283,-0.783339042,210.296732632
1556456378.924020052,2051,46794.000000000,22.299883044,114.179790615,6.423643114,-3.471587436,-3.568486991,-0.065643954,-1.489585020,-0.433467805,221.713703690
1556456379.924134970,2051,46795.000000000,22.299850567,114.179753101,6.389492869,-4.272075419,-3.552588305,-0.002339896,-2.166206180,-0.779596656,227.659699627
1556456380.924340963,2051,46796.000000000,22.299818405,114.179709845,6.354035244,-4.553362430,-3.477517134,-0.021969540,-1.830913276,-0.691822959,229.667385555
1556456381.923319101,2051,46797.000000000,22.299786432,114.179666186,6.353082459,-4.411959406,-3.528071297,-0.095686378,-1.450601126,-0.559953186,229.861686752
1556456382.923417091,2051,46798.000000000,22.299755649,114.179623816,6.336870206,-4.201914915,-3.374037901,-0.040066163,-0.949156639,0.267979006,229.568680632
1556456383.923583984,2051,46799.000000000,22.299724254,114.179581791,6.349536774,-4.496089734,-3.625938992,0.040678908,-1.414830030,0.219252346,229.081969777
1556456384.923686981,2051,46800.000000000,22.299689836,114.179536227,6.375955577,-4.914345758,-3.956232709,0.034545417,-1.985777541,0.063497499,228.956499913
1556456385.923715115,2051,46801.000000000,22.299652593,114.179486117,6.389597491,-5.431942472,-4.283366977,0.032248361,-1.325673320,0.121487979,229.197806476
1556456386.923866034,2051,46802.000000000,22.299613378,114.179432857,6.402409986,-5.491997918,-4.383271546,0.070132241,-1.018891117,0.131093474,229.403804681
1556456387.924036026,2051,46803.000000000,22.299573696,114.179379372,6.424640675,-5.615866775,-4.492328479,0.032884771,-1.144129635,0.123211730,229.184908648
1556456388.924094915,2051,46804.000000000,22.299531888,114.179324008,6.450167209,-5.835192870,-4.789258583,0.043654875,-0.561291324,0.085323346,228.339484984
1556456389.924181938,2051,46805.000000000,22.299487247,114.179266599,6.481513232,-5.963577068,-5.119331923,0.037347001,-0.510036007,0.079153451,227.488620071
1556456390.923247099,2051,46806.000000000,22.299440354,114.179208194,6.506994621,-6.145311643,-5.232647088,0.063996436,-1.082324402,0.053984951,226.792921084
1556456391.923439026,2051,46807.000000000,22.299391668,114.179148586,6.501042331,-6.166942331,-5.476819811,0.059382477,-0.903196131,-0.020913209,226.157495659
1556456392.923542976,2051,46808.000000000,22.299341748,114.179088238,6.536411170,-6.165426586,-5.561404632,-0.041626633,-0.792185051,-0.041330113,226.044699543
1556456393.923599005,2051,46809.000000000,22.299291959,114.179027642,6.568402105,-6.280610037,-5.414384793,0.067917077,-1.131290156,0.260432673,226.649785182
1556456394.923763990,2051,46810.000000000,22.299244995,114.178968411,6.619023511,-6.072469995,-5.245086736,-0.003252252,-1.394873918,-0.208033023,227.504812046
1556456395.923852921,2051,46811.000000000,22.299198834,114.178909312,6.714736389,-6.232183897,-5.215624327,0.138647291,-1.481592446,-0.181792431,227.668374347
1556456396.923944950,2051,46812.000000000,22.299151758,114.178848271,6.797640749,-6.195130227,-5.165384637,0.003138169,-0.881026424,-0.345224141,227.779243334
1556456397.923975945,2051,46813.000000000,22.299105368,114.178786875,6.880700525,-6.413827565,-5.134513472,0.102435073,-1.219115717,0.451907595,229.097912918
1556456398.924109936,2051,46814.000000000,22.299060228,114.178723438,6.977912918,-6.578658150,-4.991227908,0.147079014,-0.732768117,0.270635215,230.366330933
1556456399.923352957,2051,46815.000000000,22.299016022,114.178659327,7.063508303,-6.518219640,-4.882704241,0.077133311,0.791476035,0.269095839,230.370439634
1556456400.923360109,2051,46816.000000000,22.298965849,114.178601913,7.169753558,-6.279663984,-4.933468368,0.145250992,1.013879420,0.326751637,229.281303119
1556456401.923413992,2051,46817.000000000,22.298917168,114.178546699,7.268620076,-5.827308913,-4.806313400,0.181882574,-0.069804450,0.678181769,227.823788880
1556456402.923433065,2051,46818.000000000,22.298869269,114.178493876,7.410075735,-5.515484417,-4.698076905,0.152416785,0.626481478,0.530624052,227.456192631
1556456403.923711061,2051,46819.000000000,22.298823945,114.178440748,7.526663286,-5.319800819,-4.733326851,0.128868374,0.718327326,-0.064087877,227.208676076
1556456404.923796892,2051,46820.000000000,22.298781320,114.178389226,7.641434860,-5.240179250,-4.569809187,0.148292356,0.642211366,0.404550960,226.825193916
1556456405.923862934,2051,46821.000000000,22.298740182,114.178340293,7.758993019,-4.941852260,-4.460162718,0.162839644,-0.017751525,0.106556033,226.219540885
1556456406.923916101,2051,46822.000000000,22.298698872,114.178292794,7.854842786,-4.878349154,-4.532650900,0.107871663,0.529243658,0.122133884,225.797765143
1556456407.924108982,2051,46823.000000000,22.298657762,114.178244244,7.969835676,-5.071691223,-4.654160520,0.116540559,0.003917477,0.201404657,226.311977684
1556456408.923269033,2051,46824.000000000,22.298614866,114.178193887,8.111581945,-5.276502219,-4.871395927,0.133973037,-0.339153696,-0.037168188,225.733463768
1556456409.923300982,2051,46825.000000000,22.298569781,114.178142730,8.222891762,-5.245003651,-5.077262707,0.111701250,-0.541621313,0.275509592,224.620881825
1556456410.923373938,2051,46826.000000000,22.298523354,114.178092218,8.331888719,-5.184678978,-5.354564769,0.139528325,-0.683664321,0.338885164,222.706826268
1556456411.923495054,2051,46827.000000000,22.298473996,114.178043458,8.452412818,-5.109931795,-5.712223352,0.126615327,-1.271394679,0.386938196,220.494983691
1556456412.923604012,2051,46828.000000000,22.298420990,114.177992280,8.588137492,-5.263317942,-5.809256306,0.183106090,-1.085111279,0.539310869,220.447680095
1556456413.923696041,2051,46829.000000000,22.298369653,114.177940791,8.671611970,-5.572861653,-5.647568112,0.056467582,-0.132014487,-0.162194525,222.434258510
1556456414.923758030,2051,46830.000000000,22.298318879,114.177885529,8.742514149,-5.740562813,-5.353964444,0.065113845,-0.910718331,-0.581554319,224.558578632
1556456415.923923969,2051,46831.000000000,22.298271431,114.177831370,8.831475761,-5.613211729,-5.114282085,0.151612336,-1.336689743,0.309911351,225.876253181
1556456416.923965931,2051,46832.000000000,22.298226369,114.177778143,8.972211251,-5.412540478,-4.855951045,0.147844072,-1.203888379,0.305273329,226.436910823
1556456417.923049927,2051,46833.000000000,22.298183480,114.177726710,9.103163631,-5.115371821,-4.662319135,0.175699528,-1.559206868,0.126916249,226.359314422
1556456418.923363924,2051,46834.000000000,22.298144165,114.177679986,9.238503152,-4.615393496,-4.174832869,0.143016589,-1.670440993,0.192099274,226.553921796
1556456419.923346043,2051,46835.000000000,22.298109144,114.177637811,9.372443103,-4.109049175,-3.679692842,0.144726136,-1.603642067,0.158846192,226.815176932
1556456420.923394918,2051,46836.000000000,22.298076475,114.177598111,9.506086146,-3.977883446,-3.503710801,0.122686170,-1.351161662,0.250145640,226.958405768
1556456421.923512936,2051,46837.000000000,22.298043689,114.177559222,9.660252802,-4.185723873,-3.763836173,0.133031885,-1.655629960,0.454010825,227.055268159
1556456422.923656940,2051,46838.000000000,22.298008695,114.177516883,9.806537658,-4.474224456,-4.064219348,0.244285428,-1.603368479,0.009664563,227.224938387
1556456423.923763990,2051,46839.000000000,22.297971699,114.177471564,9.955750867,-4.833170378,-4.252610615,0.146461704,-2.030281643,0.346494197,227.993806712
1556456424.923814058,2051,46840.000000000,22.297933551,114.177423056,10.140578672,-5.375670229,-4.020879112,0.163860249,-2.528916474,0.255534747,230.159049957
1556456425.924062967,2051,46841.000000000,22.297896791,114.177370349,10.283927785,-5.493532104,-4.154498435,0.135917490,-1.216075209,-0.161616493,231.843283981
1556456426.923023939,2051,46842.000000000,22.297858584,114.177317231,10.383298920,-5.622023601,-4.388783396,0.059693929,-1.412322576,-0.281883609,230.751197565
1556456427.923129082,2051,46843.000000000,22.297818219,114.177262334,10.531181230,-5.719699673,-4.574294986,0.130423898,-1.089350312,-0.106518087,229.658315478
1556456428.923338890,2051,46844.000000000,22.297776257,114.177205183,10.650624844,-5.815664210,-4.818836447,0.110837697,-0.525671199,-0.022797036,229.278307514
1556456429.923268080,2051,46845.000000000,22.297733852,114.177149646,10.767966741,-5.802250697,-4.902036135,0.113682508,-0.815508687,-0.133138523,228.664594421
1556456430.923393011,2051,46846.000000000,22.297690047,114.177095640,10.837751911,-5.599407170,-4.953890312,0.055830367,-1.054810074,-0.365868836,227.516621227
1556456431.923533916,2051,46847.000000000,22.297645134,114.177041131,10.924163386,-5.560774663,-5.072490510,0.066420857,-0.310111984,-0.238727587,226.465035298
1556456432.923660040,2051,46848.000000000,22.297599272,114.176988636,11.044221784,-5.428192415,-5.101670467,0.120305442,-1.006333301,-0.148062608,225.456191341
1556456433.923736095,2051,46849.000000000,22.297552737,114.176935960,11.172451377,-5.411377210,-5.216338522,0.091429402,-0.445010189,-0.235172237,225.461434378
1556456434.923856974,2051,46850.000000000,22.297505223,114.176882050,11.297649833,-5.521055357,-5.177554618,0.122408076,-1.231047375,0.068342644,225.802106816
1556456435.922981024,2051,46851.000000000,22.297459558,114.176829966,11.455634478,-5.477741621,-4.984258408,0.272490088,-0.177900353,0.477574908,226.068912901
1556456436.923079014,2051,46852.000000000,22.297415585,114.176778549,11.652902575,-5.210439419,-4.898829593,0.142769663,0.851174357,0.147425790,226.072137826
1556456437.923134089,2051,46853.000000000,22.297376481,114.176729039,11.812786339,-5.067983164,-4.732097330,0.176662151,0.894646015,0.028933531,226.193675958
1556456438.923263073,2051,46854.000000000,22.297336105,114.176681403,11.977338177,-5.046770068,-4.525686958,0.189125454,0.494871691,-0.007029334,226.826368804
1556456439.923362017,2051,46855.000000000,22.297298424,114.176633402,12.133757291,-4.993925095,-4.171376680,0.136890155,1.286731683,-0.230230775,228.454814362
1556456440.923527002,2051,46856.000000000,22.297262173,114.176584865,12.286911101,-5.139856550,-4.027552251,0.230592959,1.919554350,0.180909884,231.259092170
1556456441.923768997,2051,46857.000000000,22.297229301,114.176534773,12.451791523,-5.309165779,-3.534045780,0.178562439,1.618939929,0.212871823,235.169677087
1556456442.923654079,2051,46858.000000000,22.297201379,114.176482476,12.623218484,-5.500452055,-2.987816370,0.104011216,1.581658284,-0.205309472,240.652399183
